Var1,Var2,Var3,Var4,Var5,Var6
0,-1.39736506479909e-07,-5.97113739555354e-05,0,-0,-0.0191418789327145
0.005,-1.04279317355254e-06,-0.000301399889661915,0,-9.1552734375e-05,-0.0190169624984264
0.01,-2.57293462311702e-06,-0.000298866818388097,0,-0.00026702880859375,-0.0191389936953783
0.015,-4.30781133187022e-06,-0.000364256190005413,0,-0.00029754638671875,-0.0192041154950857
0.02,-6.64165089013173e-06,-0.00051155954327524,0,-0.00051116943359375,-0.0192679595202208
0.025,-9.57255851141824e-06,-0.000533784988212725,0,-0.0089111328125,-0.0199356228113174
0.03,-1.31148275021166e-05,-0.000708875108460444,0,-0.009033203125,-0.0199081469327211
0.035,-1.735756848463e-05,-0.000757858865315845,0,-0.00913238525390625,-0.0199952591210604
0.04,-2.22382453043145e-05,-0.000902262441983796,0,-0.00945281982421875,-0.019904438406229
0.045,-2.80979549451805e-05,-0.0010822735801345,0,-0.00960540771484375,-0.019864909350872
0.05,-3.4936392396323e-05,-0.00121970394428225,0,-0.0096282958984375,-0.019883219152689
0.055,-4.24267155645076e-05,-0.00125744531324225,0,-0.0097503662109375,-0.0199966430664062
0.06,-5.04510482518321e-05,-0.00134008733236703,0,-0.009979248046875,-0.0201169699430466
0.065,-5.9288715845897e-05,-0.00148892255094385,0,-0.0100555419921875,-0.0201356522738934
0.07,-6.91009607943306e-05,-0.00162995014587443,0,-0.0101318359375,-0.0201609767973423
0.075,-7.97900302202632e-05,-0.00173000477102281,0,-0.0102310180664062,-0.0202355608344078
0.08,-9.13915350687715e-05,-0.00186722848218046,0,-0.0105361938476562,-0.0205361470580101
0.085,-0.000103654061172322,-0.00185894870047286,0,-0.0106201171875,-0.0207178369164467
0.09,-0.000116527249368403,-0.00198304352666016,0,-0.0107345581054688,-0.0207707975059748
0.095,-0.000129874320747682,-0.00188256899048907,0,-0.0108413696289062,-0.021059799939394
0.1,-0.000144080974845876,-0.00204285649884089,0,-0.0193862915039062,-0.0214693266898394
0.105,-0.000159776559106634,-0.00235166000945367,0,-0.0195083618164062,-0.02135612629354
0.11,-0.000176972393799067,-0.00248464044893968,0,-0.0196304321289062,-0.0214159078896046
0.115,-0.000193868737107176,-0.00273818027642692,0,0.00597381591796875,-0.0190341770648956
0.12,-0.000212023847840408,-0.00286382483290729,0,0.0058135986328125,-0.0190535876899958
